Time [s],Gauge Pressure,Inspiratory differenrtial pressure,Expiratory differenrtial pressure
0,9360,8178,8177
0.0232619999999999,9357,8181,8180
0.0284330000000002,9357,8178,8182
0.0295269999999999,9357,8181,8180
0.0344120000000001,9354,8181,8185
0.0411109999999999,9357,8178,8182
0.0478350000000001,9357,8181,8180
0.0619519999999998,9354,8178,8182
0.0706759999999997,9348,8178,8185
0.0794030000000001,9348,8178,8185
0.0908310000000001,9348,8178,8180
0.099618,9348,8181,8185
0.111163,9348,8175,8185
0.122143,9345,8181,8185
0.128626,9345,8178,8182
0.142464,9343,8178,8185
0.148938,9352,8178,8182
0.160444,9345,8178,8182
0.169262,9345,8181,8185
0.180815,9345,8181,8185
0.189893,9345,8178,8185
0.201238,9345,8178,8182
0.210353,9348,8178,8182
0.218649,9345,8178,8185
0.232407,9348,8178,8185
0.238933,9345,8181,8185
0.250604,9348,8178,8182
0.259409,9352,8178,8185
0.271089,9352,8178,8182
0.277113,9352,8181,8185
0.29121,9357,8178,8182
0.300259,9354,8178,8185
0.311288,9354,8178,8182
0.319907,9354,8178,8185
0.331229,9357,8181,8185
0.339662,9360,8181,8182
0.34872,9363,8178,8185
0.36237,9360,8178,8185
0.368804,9365,8181,8185
0.380026,9363,8178,8182
0.391295,9363,8178,8185
0.400349,9363,8178,8185
0.411604,9357,8178,8182
0.419795,9363,8178,8182
0.428454,9360,8178,8185
0.439479,9363,8178,8185
0.450927,9360,8178,8185
0.459942,9360,8178,8182
0.471075,9357,8178,8180
0.480153,9354,8178,8185
0.491378,9357,8181,8185
0.497535,9354,8178,8185
0.511693,9352,8178,8185
0.520296,9354,8178,8185
0.531755,9352,8178,8180
0.537837,9352,8178,8180
0.546928,9352,8178,8182
0.560777,9354,8178,8187
0.571942,9357,8178,8187
0.578392,9354,8178,8185
0.58958,9354,8178,8182
0.598179,9348,8175,8185
0.609281,9352,8175,8185
0.617856,9352,8175,8185
0.629485,9352,8178,8182
0.640972,9348,8175,8185
0.649969,9354,8175,8185
0.661418,9354,8175,8185
0.667949,9352,8175,8185
0.67896,9354,8175,8182
0.688033,9354,8178,8185
0.699709,9348,8178,8185
0.708759,9345,8178,8185
0.720371,9348,8178,8185
0.729409,9345,8178,8187
0.741107,9343,8178,8185
0.746951,9340,8178,8182
0.7612,9337,8178,8182
0.767749,9340,8178,8182
0.778967,9343,8178,8185
0.78803,9348,8178,8185
0.799685,9345,8178,8182
0.808639,9352,8178,8185
0.820295,9354,8178,8182
0.828948,9357,8178,8185
0.840379,9360,8178,8185
0.851232,9363,8178,8185
0.860331,9360,8178,8182
0.871707,9365,8178,8185
0.878158,9365,8178,8185
0.889692,9365,8178,8185
0.897835,9365,8178,8182
0.9115,9363,8178,8187
0.918245,9360,8178,8182
0.929782,9363,8178,8182
0.938348,9360,8178,8185
0.947276,9357,8178,8185
0.958864,9354,8178,8187
0.970049,9354,8178,8182
0.979076,9352,8178,8185
0.989973,9354,8181,8182
1.001345,9345,8178,8182
1.007816,9345,8181,8185
