Time [s],Gauge Pressure,Inspiratory differenrtial pressure,Expiratory differenrtial pressure
0,9890,8178,8185
0.00317100000000003,9890,8181,8185
0.00704800000000017,9885,8178,8185
0.0217460000000003,9882,8178,8185
0.0293760000000001,9876,8178,8185
0.0310709999999998,9874,8178,8185
0.0628120000000001,9868,8178,8185
0.0645750000000005,9863,8178,8182
0.0649550000000003,9858,8181,8182
0.0679829999999999,9855,8181,8185
0.0787800000000001,9847,8181,8182
0.0876890000000001,9845,8178,8185
0.0990979999999997,9842,8178,8182
0.108101,9839,8178,8182
0.119797,9839,8178,8185
0.128429,9837,8178,8182
0.139903,9837,8178,8185
0.148956,9837,8178,8185
0.160475,9834,8181,8185
0.169439,9834,8178,8185
0.178463,9828,8178,8182
0.187510000000001,9828,8178,8182
0.199149,9828,8178,8182
0.208174,9826,8178,8185
0.219778,9828,8178,8185
0.228101,9826,8178,8185
0.239349,9826,8178,8185
0.248204,9826,8178,8182
0.259412,9828,8178,8185
0.270074,9828,8178,8185
0.279174,9828,8181,8185
0.290757,9828,8178,8187
0.299328,9828,8181,8187
0.310117,9828,8178,8182
0.3206,9831,8181,8185
0.329662,9828,8178,8185
0.341092,9826,8181,8182
0.347536,9826,8178,8187
0.359116,9823,8181,8182
0.36755,9823,8178,8185
0.379103,9823,8175,8185
0.388184,9820,8178,8182
0.397333,9820,8175,8182
0.406504,9818,8175,8185
0.420087,9815,8175,8185
0.428356,9818,8178,8185
0.437268,9818,8175,8185
0.44623,9815,8175,8185
0.457971,9818,8175,8185
0.469666,9815,8175,8185
0.481028,9815,8178,8182
0.487412,9815,8181,8182
0.49904,9815,8178,8187
0.507935,9812,8178,8187
0.519236,9812,8178,8182
0.527431,9809,8178,8185
0.538984,9807,8181,8185
0.550255,9807,8181,8185
0.559386,9804,8181,8185
0.568055,9804,8178,8185
0.57869,9799,8178,8185
0.587733,9804,8175,8185
0.599377,9799,8178,8185
0.608424,9801,8175,8185
0.619747,9799,8175,8185
0.628258,9799,8175,8187
0.639458,9796,8175,8185
0.648189,9796,8178,8185
0.659841,9796,8178,8187
0.668945,9799,8175,8185
0.679475,9799,8178,8185
0.68804,9796,8178,8185
0.696617,9793,8181,8185
0.707872,9796,8178,8182
0.716938,9791,8181,8182
0.728181,9791,8178,8185
0.736695,9785,8181,8182
0.748361,9782,8181,8185
0.759664,9788,8178,8185
0.768707,9788,8178,8185
0.777559,9785,8178,8185
0.786597,9782,8175,8185
0.797559,9782,8175,8185
0.806357,9782,8175,8187
0.819169,9780,8175,8185
0.827481,9777,8178,8182
0.835599,9777,8175,8185
0.846838,9777,8175,8185
0.85805,9774,8178,8182
0.867083,9774,8175,8185
0.878713,9774,8175,8185
0.887038,9771,8175,8185
0.898737,9771,8175,8185
0.907159,9768,8175,8182
0.918886,9762,8175,8185
0.92985,9768,8178,8185
0.936238,9762,8175,8185
0.950232,9760,8178,8182
0.956647,9753,8178,8185
0.968225,9748,8175,8185
0.977143,9745,8175,8182
0.988443,9737,8178,8185
0.996754,9737,8178,8185
1.008101,9729,8178,8185
1.019153,9726,8181,8182
1.027895,9724,8178,8182
1.036655,9721,8178,8182
1.045166,9721,8178,8185
1.056759,9715,8181,8185
1.06823,9715,8178,8185
1.076734,9713,8178,8182
1.088085,9706,8178,8182
1.096664,9704,8178,8185
1.108224,9704,8181,8185
1.117383,9701,8178,8182
1.12901,9698,8178,8182
1.138054,9698,8181,8185
1.14938,9695,8181,8182
1.158133,9695,8181,8185
1.167156,9693,8181,8185
1.17619,9693,8181,8182
1.187435,9687,8181,8185
1.196148,9685,8178,8182
1.207875,9682,8181,8182
1.219179,9685,8178,8185
1.227673,9682,8178,8185
1.238788,9677,8181,8182
1.245267,9679,8178,8185
1.259152,9677,8175,8185
1.268196,9674,8178,8182
1.279476,9668,8178,8182
1.288523,9668,8178,8185
1.297646,9662,8178,8185
1.30633,9659,8178,8185
1.317703,9659,8175,8182
1.326415,9657,8175,8185
1.337402,9654,8175,8185
1.346453,9651,8178,8185
1.35811,9646,8178,8182
1.368693,9648,8175,8185
1.377337,9643,8178,8187
1.388524,9639,8178,8185
1.394989,9637,8175,8185
1.407658,9637,8178,8182
1.416446,9637,8178,8185
1.424833,9631,8181,8185
1.438354,9631,8178,8185
1.446875,9631,8178,8182
1.458051,9628,8178,8185
1.467033,9626,8178,8182
1.478641,9623,8181,8182
1.487708,9620,8178,8185
1.496631,9620,8181,8182
1.505706,9615,8178,8182
1.517332,9615,8178,8185
1.528505,9612,8178,8185
1.537111,9610,8178,8185
1.545504,9607,8178,8187
1.554206,9607,8181,8185
1.568403,9607,8181,8185
1.576307,9601,8178,8185
1.587248,9596,8178,8185
1.595991,9599,8178,8185
1.607763,9599,8178,8185
1.616586,9593,8178,8185
1.628234,9596,8175,8182
1.636878,9591,8175,8182
1.648463,9591,8178,8185
1.657559,9585,8178,8185
1.669257,9585,8178,8182
1.675799,9585,8175,8187
1.686564,9582,8175,8185
1.695613,9580,8178,8185
1.707247,9580,8175,8187
1.716324,9577,8175,8182
1.727601,9574,8175,8187
1.73877,9567,8175,8185
1.747792,9570,8178,8185
1.758322,9567,8175,8187
1.765039,9564,8175,8185
1.77606,9567,8178,8185
1.785094,9567,8178,8185
1.799072,9564,8175,8182
1.805536,9564,8178,8185
1.816424,9564,8175,8185
1.827714,9570,8178,8185
1.835907,9567,8178,8185
1.844936,9567,8178,8185
1.856287,9567,8178,8185
1.864834,9567,8178,8185
1.876167,9570,8178,8182
1.887726,9567,8178,8185
1.896594,9570,8178,8185
1.909005,9570,8178,8185
1.915515,9567,8178,8185
1.925858,9564,8181,8185
1.936335,9567,8178,8187
1.945421,9564,8175,8185
1.956177,9564,8178,8185
1.96525,9561,8175,8185
1.976042,9561,8178,8185
1.984655,9564,8175,8187
1.996091,9564,8175,8187
2.007776,9567,8175,8185
2.016666,9567,8178,8182
2.025638,9567,8178,8185
2.036753,9564,8175,8182
2.047482,9561,8175,8182
2.053026,9561,8175,8182
2.064213,9556,8175,8185
2.078159,9553,8175,8182
2.087208,9551,8175,8182
2.098678,9545,8175,8182
2.10514,9543,8175,8182
2.116761,9537,8175,8185
2.125784,9537,8175,8185
2.137487,9540,8178,8185
2.14662,9537,8175,8185
2.15791,9537,8175,8185
2.166971,9537,8178,8185
2.178037,9534,8178,8185
2.184336,9534,8178,8185
2.196026,9532,8178,8185
2.205081,9532,8178,8182
2.215935,9532,8178,8185
2.227405,9529,8175,8185
2.233847,9526,8178,8182
2.248013,9526,8175,8180
2.254463,9532,8178,8185
2.268476,9532,8178,8185
2.27489,9532,8178,8185
2.285704,9534,8181,8185
2.296928,9532,8181,8185
2.305639,9532,8181,8182
2.314758,9532,8178,8185
2.325763,9526,8178,8182
2.334834,9526,8178,8185
2.348243,9521,8178,8185
2.354696,9521,8181,8185
2.365504,9513,8175,8185
2.374061,9510,8178,8187
2.385472,9510,8175,8185
2.396722,9507,8178,8185
2.40534,9499,8175,8185
2.416697,9497,8178,8185
2.425214,9497,8175,8185
2.436912,9490,8178,8185
2.443168,9485,8175,8182
2.454783,9478,8178,8182
2.466032,9470,8178,8182
2.477204,9459,8178,8182
2.486294,9454,8178,8182
2.494827,9440,8178,8182
2.506476,9435,8181,8185
2.517705,9432,8178,8182
2.524089,9424,8178,8182
2.535786,9420,8178,8182
2.544838,9412,8178,8185
2.556474,9412,8178,8185
2.565363,9412,8181,8185
2.577039,9407,8181,8185
2.586132,9407,8181,8185
2.59731,9404,8178,8185
2.606335,9399,8178,8187
2.615478,9399,8181,8185
2.624926,9399,8181,8182
2.633748,9391,8181,8182
2.645241,9391,8181,8185
2.656357,9393,8178,8187
2.665428,9393,8178,8185
2.677071,9393,8178,8185
2.68618,9387,8175,8185
2.69436,9387,8175,8182
2.702865,9384,8178,8185
2.714478,9384,8175,8180
2.72341,9379,8175,8182
2.734897,9373,8178,8185
2.746573,9373,8175,8185
2.755655,9368,8178,8185
2.767565,9368,8175,8185
2.776109,9363,8175,8185
2.786884,9360,8175,8185
2.793347,9357,8178,8185
2.80724,9357,8175,8185
2.816262,9354,8178,8185
2.825297,9354,8175,8182
2.834371,9345,8175,8182
2.846061,9343,8175,8185
2.854816,9340,8175,8182
2.865967,9334,8178,8182
2.874776,9332,8175,8182
2.886484,9332,8178,8185
2.89553,9332,8178,8185
2.907239,9332,8178,8185
2.913178,9332,8178,8182
2.924447,9332,8181,8185
2.935488,9329,8178,8185
2.944012,9326,8181,8182
2.955033,9326,8178,8185
2.965954,9318,8178,8185
2.974301,9321,8178,8182
2.985837,9321,8178,8185
2.994728,9318,8181,8185
3.003703,9315,8181,8185
3.014898,9318,8178,8185
3.023852,9315,8178,8182
3.034444,9315,8178,8185
3.043179,9315,8181,8185
3.056135,9313,8178,8182
3.063276,9310,8181,8185
3.072565,9307,8178,8185
3.082846,9305,8181,8185
3.093367,9299,8178,8182
3.105948,9297,8178,8185
3.114552,9297,8178,8185
3.125771,9290,8181,8185
3.134809,9287,8178,8185
3.145994,9285,8178,8185
3.154568,9282,8178,8185
3.16318,9279,8178,8182
3.174431,9276,8178,8185
3.185107,9273,8181,8185
3.195938,9270,8181,8182
3.204561,9267,8181,8182
3.213326,9265,8181,8185
3.224824,9265,8183,8182
3.236293,9262,8181,8185
3.245377,9257,8181,8182
3.253475,9254,8183,8185
3.261403,9254,8181,8185
3.272756,9251,8181,8182
3.287016,9251,8183,8185
3.293319,9243,8183,8185
3.304658,9243,8178,8182
3.313263,9238,8178,8185
3.324924,9238,8178,8182
3.335587,9238,8178,8185
3.343977,9232,8178,8182
3.355279,9230,8178,8182
3.363972,9230,8178,8182
3.375627,9230,8178,8185
3.384508,9232,8178,8182
3.393564,9224,8181,8182
3.402663,9219,8181,8185
3.415302,9219,8181,8182
3.424122,9216,8181,8185
3.435893,9213,8183,8185
3.444578,9216,8181,8185
3.456263,9211,8181,8182
3.462715,9211,8181,8187
3.473466,9211,8181,8185
3.482174,9205,8181,8185
3.496356,9198,8183,8185
3.502551,9198,8181,8182
3.514169,9198,8178,8185
3.523292,9192,8178,8185
3.534165,9192,8178,8185
3.544305,9192,8178,8182
3.55501,9187,8178,8182
3.563297,9184,8178,8185
3.574794,9184,8178,8182
3.586498,9182,8178,8182
3.592971,9179,8181,8185
3.604546,9176,8178,8185
3.613614,9176,8181,8185
3.62505,9173,8181,8185
3.634106,9173,8181,8185
3.645406,9171,8181,8182
3.654206,9171,8181,8185
3.66588,9168,8178,8185
3.672386,9168,8181,8185
3.684058,9168,8181,8182
3.693111,9168,8178,8185
3.703831,9171,8178,8185
3.715472,9171,8178,8185
3.724425,9173,8178,8180
3.733521,9173,8178,8182
3.745208,9171,8181,8185
3.754369,9173,8178,8185
3.765514,9176,8178,8182
3.774319,9176,8178,8182
3.782584,9176,8181,8185
3.795987,9176,8178,8182
3.802519,9179,8181,8185
3.813322,9176,8178,8185
3.822195,9179,8181,8185
3.835762,9179,8181,8182
3.844832,9182,8178,8182
3.851238,9179,8178,8182
3.862832,9179,8181,8182
3.873868,9182,8178,8185
3.882958,9179,8178,8185
3.894477,9182,8181,8182
3.903548,9182,8181,8182
3.916634,9184,8178,8185
3.92598,9182,8181,8182
3.932427,9182,8178,8185
3.943626,9184,8178,8182
3.95258,9184,8178,8185
3.963077,9187,8175,8182
3.97455,9187,8178,8182
3.980994,9187,8178,8185
3.99483,9190,8175,8185
4.003835,9195,8178,8185
4.015489,9195,8175,8182
4.022004,9200,8175,8185
4.033047,9200,8178,8185
4.041749,9205,8178,8185
4.056046,9211,8175,8182
4.061783,9208,8178,8185
4.072848,9211,8175,8185
4.084449,9208,8175,8182
4.095678,9211,8178,8182
4.102163,9208,8175,8182
4.113555,9213,8175,8185
4.122542,9213,8175,8182
4.134183,9211,8175,8185
4.142537,9208,8175,8185
4.154101,9205,8175,8182
4.165322,9200,8178,8185
4.174507,9198,8175,8182
4.182408,9192,8175,8182
4.193719,9192,8178,8185
4.205176,9184,8175,8182
4.214245,9182,8178,8182
4.225141,9173,8175,8182
4.231593,9171,8178,8182
4.243149,9168,8178,8182
